Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales
301320,ACHESON,Freedom Cannabis,,8/30/2021,9827 279 ST,,AB,T7X 6J4,8774523760.0,No 
781463,AIRDRIE,13th Floor Cannabis,"Kolochuk, Craig Michael, Mgr
",11/4/2020,1005-401 COOPERS BLVD SW,,AB,T4B 4J3,4039601313.0,Yes
780863,AIRDRIE,Best Buds Outlet,"Sapp, Brandon Darrell, Mgr
",12/19/2019,4A-1861 MEADOWBROOK DR SE,,AB,T4A 1V3,4039801046.0,No 
781450,AIRDRIE,Bud Mart,"Bhullar, Gurdev Singh, Mgr
",4/1/2020,17-1301 8 STREET SW,,AB,T4B 0M9,5873600036.0,Yes
812450,AIRDRIE,Bud Mart,"Bhullar, Karandev Singh, Mgr
",8/30/2025,600-705 MAIN ST SW,,AB,T4B 3M2,5877009810.0,Yes
782204,AIRDRIE,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,101-400 MAIN ST NE,,AB,T4B 2N1,4039600577.0,Yes
778818,AIRDRIE,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",10/31/2019,6128-403 MACKENZIE WAY SW,,AB,T4B 3V7,4039809822.0,Yes
780989,AIRDRIE,Plantlife,"Scott, Ian Hardie, Mgr
",9/10/2019,117-1800 MARKET ST SE,,AB,T4A 0K9,5876000011.0,No 
779347,AIRDRIE,RARE Cannabis Co.,"Ballman, Ami Louise, Mgr
",7/2/2019,5-213 MAIN ST N,,AB,T4B 0R6,4039800010.0,Yes
781101,AIRDRIE,Value Buds at Sierra Springs,"Sanderson, Grant Leigh, Mgr
",12/20/2019,130-2765 MAIN ST SW,,AB,T4B 3S6,4039805403.0,No 
779333,ALBERTA BEACH,Rock Island Cannabis Inc.,"Haskell, Sandra Anne, Mgr
",8/6/2019,4925 50 AVENUE,,AB,T0E 0A0,7809242009.0,No 
302176,ALDERSYDE,Grass Monkeys Premium Craft Cannabis,,6/26/2024,450153 82 STREET E,,AB,T0L 0A0,,No 
781277,ATHABASCA,Equilibrium Cannabis,"Webster, Gerald Daniel, Mgr
",3/26/2020,103-5003 50 AVENUE,,AB,T9S 1T2,7806758805.0,No 
784553,ATHABASCA,Green Solution Cannabis,"Choi, Hea Lee, Mgr
",11/28/2022,4805 50 ST,,AB,T9S 1C8,7804044408.0,No 
781033,BANFF,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/6/2020,215    SUNDANCE MALL L09,,AB,T0L 0C0,4039850308.0,Yes
777992,BANFF,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",10/23/2019,229 BEAR STREET,,AB,T1L 1C3,4039858027.0,Yes
784745,BANFF,Value Buds Banff,"Sanderson, Grant Leigh, Mgr
",9/15/2022,203B BEAR STREET,,AB,T1L 1H1,4039859167.0,No 
781740,BARRHEAD,Green Solution Cannabis,"Choi, Hea Lee, Mgr
",7/14/2020,4934 50 AVENUE,,AB,T7N 1J4,7802849971.0,No 
782755,BARRHEAD,Rocky Mountain Roots,"LeGassick, Ryan Roderick, Mgr
",7/30/2021,5036 50 STREET,,AB,T7N 1A5,7806743265.0,Yes
783080,BASHAW,The Bakedery,"Brokopp, Jodie Calvin, Mgr
",1/17/2022,4912 50 STREET,,AB,T0B 0H0,7803722143.0,Yes
785365,BASSANO,Bassano Cannabis Store,"Gill, Couragedeep Singh, Mgr
",11/9/2023,417 2 AVENUE,,AB,T0J 0B0,4036412067.0,No 
779396,BEAUMONT,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",6/24/2019,116-5305 MAGASIN AVE,,AB,T4X 1V8,7807377003.0,Yes
783241,BEAUMONT,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",11/12/2021,109-6410 50 ST,,AB,T4X 0B6,7807379815.0,Yes
779413,BEAUMONT,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",12/10/2019,138-5802 50 ST,,AB,T4X 1T8,7807331291.0,Yes
783989,BEAUMONT,Pop's Cannabis Co.,"Arbuthnot, John William, Mgr
",3/31/2022,101-5003 30 AVE,,AB,T4X 1T9,7809991941.0,Yes
779747,BEAVERLODGE,Level 420,"Jolin, Dawn Lee, Mgr
",8/12/2019,202 10 STREET,,AB,T0H 0C0,7805344420.0,No 
783930,BEAVERLODGE,Plain Jane Cannabis,"Carson, Tatum Sofia L., Mgr
",8/4/2022,806 1 AVENUE,,AB,T0H 0C0,7802193567.0,No 
784152,BENTLEY,Bonfire Cannabis Inc.,"MacLean, Terrance John, Mgr
",11/29/2022,4934 50 AVENUE,,AB,T0C 2J0,5876794137.0,No 
779748,BLACK DIAMOND,Eco Green Leaf Bar,"Kapila, Sanjeev Kumar, Mgr
",7/6/2020,9-402 CENTRE AVENUE W,,AB,T0L 0H0,4039337773.0,No 
781562,BLACK DIAMOND,Enlightened Herb Cannabis,"French, Danielle Nicole, Mgr
",7/8/2020,306 GOVERNMENT ROAD,,AB,T0L 0H0,4039335323.0,Yes
781526,BLACKFALDS,Accupure Cannabis,"Ha, Jae Yub, Mgr
",5/28/2020,310-6017 PARKWOOD ROAD,,AB,T0M 0J0,5876210457.0,No 
819774,BLACKFALDS,Bargain Buds Cannabis - Blackfalds,"Seelen, Kale Joseph Alexander, Mgr
",2/11/2026,1-37 COTTONWOOD DR.,,AB,T0M 0J0,4036007770.0,No 
783903,BLACKFALDS,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",5/27/2022,620-4500 BLACKFALDS CROSSING WAY,,AB,T0M 0J0,8557476420.0,Yes
778867,BLAIRMORE,Crowsnest's Classy Joint,"Olsen, Jocelyn Gail, Mgr
",10/10/2019,12701 20 AVENUE,,AB,T0K 0E0,4035632091.0,No 
779369,BONNYVILLE,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",7/29/2019,3-5506 50 AVE,,AB,T9N 2K8,7803439639.0,Yes
782498,BONNYVILLE,Spiritleaf - Bonnyville,"Normand, Danielle Anne-Marie, Mgr
",5/27/2021,104-6608 50 AVE,,AB,T9N 0B7,7808122109.0,No 
784206,BONNYVILLE,Sunrise Cannabis Retail Ltd.,"Brinegar, Terry Verna, Mgr
",7/20/2022,102-4809 50 AVENUE,,AB,T9N 2J4,7808122331.0,No 
301945,BOW ISLAND,Almanac Grow Corp.,,1/6/2023,101-12 STREET EAST,,AB,T0K 0G0,4039095845.0,No 
783756,BOYLE,Earth to Embers,"Turner, Terryl Leigh, Mgr
",11/17/2022,4909 8 STREET S,,AB,T0A 0M0,7802139394.0,No 
785487,BRAGG CREEK,FOUR20,"Morrow, Scott Andrew, Mgr
",6/21/2023,120-7 BALSAM AVENUE,,AB,T0L 0K0,5874301600.0,Yes
800570,BROOKS,BLUETHERA BIOLOGICS INC.,"Simon, John, Mgr
",2/5/2025,239 AQUADUCT DR,,AB,T1R 1B5,7809750095.0,No 
784606,BROOKS,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/2/2022,115 2 ST E,,AB,T1R 0G9,5872704445.0,Yes
777896,BROOKS,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",4/18/2019,102 2 STREET W,,AB,T1R 0S3,5879940701.0,Yes
781961,BROOKS,Spiritleaf - Brooks,"Engel, Darren Albert, Mgr
",10/1/2020,4-715 2 ST W,,AB,T1R 1A9,5872704200.0,No 
781539,CALGARY,13th Floor Cannabis,"Kolochuk, Craig Michael, Mgr
",8/6/2020,208-8060 SILVER SPRINGS BLVD NW,,AB,T3B 5K1,4039601313.0,Yes
302066,CALGARY,2502967 Alberta Ltd.,,2/28/2025,2100-222 3 AVE SW,,AB,T2P 0B4,3039292286.0,No 
778178,CALGARY,420 Premium Market,"Morrow, Scott Andrew, Mgr
",11/5/2018,46 SAGE HILL PASS NW,,AB,T3R 0S4,4032122383.0,Yes
783148,CALGARY,All The Smoke Premium Cannabis Market,"Sidhu, Satbir Singh, Mgr
",2/4/2022,1-6219 CENTRE STREET N,,AB,T2K 0V2,4034749720.0,No 
781966,CALGARY,Bimor Cannabis,"Minhas, Navjot, Mgr
",4/20/2021,806 68 ST NE,,AB,T2A 6X7,5873536262.0,No 
810891,CALGARY,Blissful Buds,"Bedi, Emandeep Singh, Mgr
",7/31/2025,631 SHAWCLIFFE GATE SW,,AB,T2Y 1W1,4039663734.0,Yes
809623,CALGARY,Bow Cannabis,"Ramadan, Jamal Andrew, Mgr
",12/18/2024,6305 BOWNESS RD NW,,AB,T3B 0E4,4032861190.0,Yes
803154,CALGARY,Bud Bar Beltline West,"Woo, Justin Clay H., Mgr
",6/7/2024,806 12 AVE SW,,AB,T2R 0J3,4034539164.0,Yes
783183,CALGARY,Bud Bar Crowfoot,"Woo, Justin Clay H., Mgr
",10/15/2021,838 CROWFOOT CRES NW,,AB,T3G 4S3,8255404645.0,Yes
783034,CALGARY,Bud Bar on 10th St NW,"Woo, Justin Clay H., Mgr
",5/15/2021,100-1717 10 ST NW,,AB,T2M 4S2,5873911906.0,Yes
783035,CALGARY,Bud Bar On 14 St NW,"Woo, Justin Clay H., Mgr
",5/15/2021,2008 14 ST NW,,AB,T2M 3N3,5873911587.0,Yes
782591,CALGARY,Bud Bar Stampede,"Woo, Justin Clay H., Mgr
",8/10/2021,101-206 11 AVE SE,,AB,T2G 0X8,8255404539.0,Yes
802723,CALGARY,Bud Mart,,6/6/2024,1-1704 61 ST SE,,AB,T2A 4V5,4038996313.0,Yes
812647,CALGARY,Bud Mart,"Bhullar, Karandev, Mgr
",7/24/2025,160-5305 COUNTRY HILLS BLVD NE,,AB,T3N 0X4,5877009810.0,Yes
786064,CALGARY,Bud Mart,"Bhullar, Gurdev Singh, Mgr
",6/4/2024,148-20 COPPERPOND PASSAGE SE,,AB,T2Z 1Z4,4039720649.0,Yes
815806,CALGARY,Bud Mart,"Bhullar, Karandev Singh, Mgr
",1/30/2026,115-14919 DEER RIDGE DR SE,,AB,T2J 7C4,4034601122.0,Yes
812581,CALGARY,Bud Mountain Aeroponics,"Cowan, Kevin Brandon, Mgr
",9/10/2025,120-10725 74 ST SE,,AB,T2C 5P5,4038376972.0,No 
785122,CALGARY,Budlife,"Chaudry, Mainul, Mgr
",10/6/2023,1A-8607 48 AVE NW,,AB,T3B 2B3,5878961800.0,Yes
813136,CALGARY,Calgary Co-op Cannabis Seton,"Moncrieff, Levi Lawrence, Mgr
",11/4/2025,3945 MARKET ST SE,,AB,T3M 2W9,5873910880.0,Yes
817305,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/10/2025,45-2525 BRIDLECREST WAY SW,,AB,T2Y 5J4,8255406963.0,Yes
782391,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",2/24/2021,115-8835 MACLEOD TRAIL SW,,AB,T2H 0M2,5873917655.0,Yes
803219,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",6/20/2024,10-5308  17 AVE SW,,AB,T3E 6S6,4036860630.0,Yes
780044,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",10/9/2019,2107 EDMONTON TRAIL NE,,AB,T2E 3M4,4037644203.0,Yes
782390,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",5/20/2021,14-10822 50 ST SE,,AB,T2C 5N9,4037194069.0,Yes
783002,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",6/1/2021,2-7400 MACLEOD TRAIL SE,,AB,T2H 0L9,5873924695.0,Yes
816119,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",12/17/2025,501-7248 OGDEN RD SE,,AB,T2C 1B6,8255400402.0,Yes
782208,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,111-13 SOUTHLAND CRES SW,,AB,T2W 0K4,5873924665.0,Yes
809333,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",5/20/2025,309-722 85 ST SW,,AB,T3H 1S6,8255408649.0,Yes
782392,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",3/3/2021,4600 BOWNESS ROAD NW,,AB,T3B 0B3,4034549004.0,Yes
783003,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/5/2021,120-920 36 ST NE,,AB,T2A 6L8,8255404257.0,Yes
782395,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",3/24/2021,850-19369 SHERIFF KING ST S,,AB,T2X 0T9,4034550997.0,Yes
782219,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,8-12 CASTLERIDGE DR NE,,AB,T3J 1V4,5873924690.0,Yes
783077,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",11/4/2021,6110-250 EAST HILLS SQ SE,,AB,T2A 7A7,4032488745.0,Yes
784109,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",6/3/2022,105-330 10 ST NW,,AB,T2N 1V8,4032707880.0,Yes
785842,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",10/17/2023,116-101 SAGE VALLEY COMMON NW,,AB,T3R 1T8,4032654207.0,Yes
779149,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",10/18/2018,1065 CANYON MEADOWS DR SW,,AB,T2W 5V3,4037644207.0,Yes
782393,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",3/3/2021,1235 11 AVENUE SW,,AB,T3C 0M5,4034551930.0,Yes
783054,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",11/17/2021,103-3928 EDMONTON TRAIL NE,,AB,T2E 3P6,8255404402.0,Yes
782209,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,130-5403 CROWCHILD TRAIL NW,,AB,T3B 4Z1,5873924650.0,Yes
782216,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,29-240 MIDPARK WAY SE,,AB,T2X 1N4,5873924655.0,Yes
779322,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/6/2019,11032A ELBOW DRIVE SW,,AB,T2W 1G6,4034554205.0,Yes
779508,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/12/2019,610-20 CROWFOOT CRES NW,,AB,T3G 2P6,4037645399.0,Yes
782210,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,144-55 CASTLERIDGE BLVD NE,,AB,T3J 3J8,5873924670.0,Yes
782211,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,1535 19 ST NW,,AB,T2N 2K2,5873924720.0,Yes
782215,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,21-2500 4 ST SW,,AB,T2S 1X6,5873924660.0,Yes
782222,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,9-2015 32 AVE NE,,AB,T2E 6Z3,5873924715.0,Yes
782212,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,18-13750 BOW BOTTOM TRAIL SE,,AB,T2J 6T5,5873923409.0,Yes
804903,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",7/31/2024,28-20 DOUGLAS WOODS DR SE,,AB,T2Z 1K2,4034540461.0,Yes
782433,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",3/24/2021,130-296 SHAWVILLE BLVD SE,,AB,T2Y 3S4,5873917658.0,Yes
782207,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,110-3725 RUNDLEHORN DR NE,,AB,T1Y 2K1,5873924675.0,Yes
805170,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",7/30/2024,250-3630 BRENTWOOD RD NW,,AB,T2L 1K8,4034540437.0,Yes
782206,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,110-1935 37 ST SW,,AB,T3E 3A4,5873924705.0,Yes
782388,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",1/8/2021,101-624 8 AVE SE,,AB,T2G 1S7,4034549007.0,Yes
784607,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/2/2022,2719 14 ST SW,,AB,T2T 3V2,5873912088.0,No 
782387,CALGARY,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",2/3/2021,130-11130 11 ST NE,,AB,T3K 2R5,4032149885.0,Yes
783163,CALGARY,Cannabis Leaf,"Bassi, Charandeep, Mgr
",12/1/2021,1-4623 BOW TRAIL SW,,AB,T3C 2G6,4039737781.0,No 
778108,CALGARY,Celestial Buds,"Dhaliwal, Monica, Mgr
",1/25/2019,166-6800 MEMORIAL DRIVE NE,,AB,T2A 6V3,5874968711.0,Yes
817225,CALGARY,Chinook Cannabis,"Baer, Casey Jay, Mgr
",3/25/2026,4818 16 ST SW,,AB,T2T 4J5,5873634372.0,Yes
783692,CALGARY,Chinook Cannabis,"Baer, Casey Jay, Mgr
",1/7/2022,4026 16 ST SW,,AB,T2T 4H4,4034554372.0,Yes
783303,CALGARY,Cloud 420,"Islam, Shakeel Chouhdary, Mgr
",8/31/2021,124-11125 38 ST NE,,AB,T3N 1P3,5876209761.0,No 
781051,CALGARY,Cloud 620,"Dhillon, Harvinder Kaur, Mgr
",3/17/2020,120-630 REDSTONE DR NE,,AB,T3N 1L4,5874837147.0,No 
780860,CALGARY,Cloud-520,"Dhillon, Harvinder Kaur, Mgr
",4/12/2021,120-180 LEGACY MAIN ST SE,,AB,T2X 4R9,4037504002.0,No 
778958,CALGARY,Co-op Cannabis,"Nicholas, Michael John, Mgr
",10/17/2018,7-8720 MACLEOD TRAIL SE,,AB,T2H 0M4,4034522285.0,Yes
783491,CALGARY,Co-op Cannabis - Beddington,"Nicholas, Michael John, Mgr
",11/19/2021,160-8220 CENTRE ST NE,,AB,T3K 1J7,4034571943.0,Yes
784069,CALGARY,Co-op Cannabis - Oakridge,"Nicholas, Michael John, Mgr
",8/10/2022,110-125 OAKMOOR PLAZA SW,,AB,T2V 4R9,4032994030.0,Yes
779549,CALGARY,Co-op Cannabis- Brentwood,"Nicholas, Michael John, Mgr
",7/8/2019,B-4122 BRENTWOOD RD NW,,AB,T2L 1K8,4034522560.0,Yes
779546,CALGARY,Co-op Cannabis- Crowfoot,"Nicholas, Michael John, Mgr
",12/5/2019,41 CROWFOOT WAY NW,,AB,T3G 2L4,4034539127.0,Yes
779548,CALGARY,Co-op Cannabis- Dalhousie,"Nicholas, Michael John, Mgr
",7/22/2019,B-5505 SHAGANAPPI TRAIL NW,,AB,T3A 1Z6,4032994028.0,Yes
779545,CALGARY,Co-op Cannabis- Shawnessy,"Nicholas, Michael John, Mgr
",1/6/2021,100B-250 SHAWVILLE BLVD SE,,AB,T2Y 2Z7,4034559894.0,Yes
778956,CALGARY,Co-op Cannabis-Forest Lawn,"Nicholas, Michael John, Mgr
",7/15/2019,5-3330 17 AVE SE,,AB,T2A 0P9,4032994024.0,Yes
778947,CALGARY,Co-op Cannabis-Hamptons,"Nicholas, Michael John, Mgr
",11/18/2020,614-1000 HAMPTONS DR NW,,AB,T3A 6A7,4034553132.0,Yes
778955,CALGARY,Co-op Cannabis-Richmond Road,"Nicholas, Michael John, Mgr
",7/22/2019,4938 RICHMOND RD SW,,AB,T3E 6K4,4032994026.0,Yes
815620,CALGARY,Cost Cannabis,"Sanderson, Grant Leigh, Mgr
",1/6/2026,100-5253 RICHMOND RD SW,,AB,T3E 7C4,4038001109.0,No 
815619,CALGARY,Cost Cannabis,"Sanderson, Grant Leigh, Mgr
",1/6/2026,130-9919 FAIRMOUNT DR SE,,AB,T2J 0S3,4038001108.0,No 
815843,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",2/9/2026,175-45 CARRINGTON BLVD NW,,AB,T3P 1K8,5873333397.0,Yes
814293,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",10/27/2025,R-6412 OLD BANFF COACH RD SW,,AB,T3H 2H3,4034440977.0,Yes
781882,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",4/14/2021,2-1603 62 AVE SE,,AB,T2C 2C5,4037753265.0,Yes
783338,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",11/5/2021,2-3525 26 AVE SE,,AB,T2B 2M9,4037753265.0,Yes
785798,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",2/16/2024,123-1829 RANCHLANDS BOULEVARD NW,,AB,T3G 2A7,4039889636.0,Yes
811103,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",6/5/2025,445-9737 MACLEOD TRAIL SW,,AB,T2J 0P6,5877470777.0,Yes
783777,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",4/21/2022,3412 3 AVE NW,,AB,T2N 0M2,5879434716.0,Yes
778758,CALGARY,Eastwood,"Ware-Lane, Daryl, Mgr
",11/22/2019,10-6222 36 ST SE,,AB,T2C 3J4,4032570605.0,Yes
780784,CALGARY,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",12/18/2019,1560-6004 COUNTRY HILLS BOULEVARD NE,,AB,T3N 1T8,5874829835.0,Yes
785938,CALGARY,FivePoint Cannabis 1st St.,"Jenkins, Alena Riane, Mgr
",9/19/2023,1318 1 ST SW,,AB,T2R 0V7,8255401318.0,No 
778172,CALGARY,FivePoint Cannabis Bridgeland,"Jenkins, Alena Riane, Mgr
",7/2/2019,945 GENERAL AVE NE,,AB,T2E 9E1,4036903636.0,No 
803937,CALGARY,Flamingo+ Cannabis Trinity Hills,"Joyce, Tristan Alexander, Mgr
",11/1/2024,420 NA'A COMMON SW,,AB,T3B 5V6,4034930780.0,Yes
784761,CALGARY,FOUR20,"Morrow, Scott Andrew, Mgr
",10/26/2022,101-1022 17 AVE SW,,AB,T2T 0A5,5874419420.0,Yes
784760,CALGARY,FOUR20,"Morrow, Scott Andrew, Mgr
",10/26/2022,7111-8650 112 AVE NW,,AB,T3R 0R5,5874419021.0,Yes
785330,CALGARY,Four20,"Morrow, Scott Andrew, Mgr
",3/29/2023,120-6008 MACLEOD TRAIL SW,,AB,T2H 0K1,5873290539.0,Yes
784289,CALGARY,Four20,"Morrow, Scott Andrew, Mgr
",4/29/2022,917 1 AVE NE,,AB,T2E 2L3,5874414200.0,Yes
783844,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",11/29/2021,3-2008 33 AVE SW,,AB,T2T 1Z4,5873290539.0,Yes
783204,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",6/10/2021,3011 26 AVE SW,,AB,T3E 0M7,5873184204.0,Yes
783843,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",11/29/2021,1309 9 AVE SE,,AB,T2G 0T2,4037669141.0,Yes
783211,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",6/10/2021,640 10 AVE SW,,AB,T2R 1M3,4032624739.0,Yes
783207,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",6/10/2021,424 ERIN WOODS DR SE,,AB,T2B 3C5,5874304221.0,Yes
777882,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",8/12/2019,B-121 8 AVE SW,,AB,T2P 1B4,4034070861.0,Yes
784305,CALGARY,Global Leaf,"Birk, Rajinder Singh, Mgr
",9/30/2022,3-728 NORTHMOUNT DR NW,,AB,T2K 3K2,4039917529.0,No 
778020,CALGARY,Global Leaf,"Birk, Rajinder Singh, Mgr
",10/19/2018,106-5401 TEMPLE DR NE,,AB,T1Y 3R7,4039917529.0,No 
783666,CALGARY,Gramsterdam,"Saini, Rajpal Kaur, Mgr
",2/23/2022,14-5700 FALSBRIDGE DRIVE NE,,AB,T3J 4X5,5876175400.0,Yes
807751,CALGARY,Green Guidance Cannabis Agency,,11/27/2024,1190 EVANSTON DR NW,,AB,T3P 0J9,4038138139.0,No 
781674,CALGARY,Green Panda Cannabis,"Dhillon, Harvinder Kaur, Mgr
",4/26/2021,130-60 BOWRIDGE DR NW,,AB,T3B 2T9,4032865210.0,No 
782179,CALGARY,Greenlife Cannabis,"Kim, Dowon, Mgr
",8/5/2021,6-3304 64 ST NE,,AB,T1Y 5R4,4035682104.0,Yes
779351,CALGARY,Greenspot Shop,"Bergman, Darrick, Mgr
",12/9/2019,7523 MACLEOD TRAIL SW,,AB,T2H 0L8,4034004887.0,Yes
800853,CALGARY,High Tide Inc.,,7/30/2024,112-11127 15 ST NE,,AB,T3K 2M4,5878898892.0,No 
782148,CALGARY,Highland Buds,"Huh, Jacob Namsun, Mgr
",5/28/2021,118 40 AVE NW,,AB,T2K 0E3,5872919717.0,Yes
785407,CALGARY,Highland Buds,"Ramadan, Jamal Andrew, Mgr
",8/15/2023,26-5010 4 ST NE,,AB,T2K 5X8,4034752898.0,Yes
785755,CALGARY,In N Out Cannabis Discounter,"Toor, Rajpal, Mgr
",1/29/2024,B-2604 KENSINGTON RD NW,,AB,T2N 3S5,3068803362.0,Yes
814567,CALGARY,Kindling Cannabis 4th St,"Howlett, Daniel Matthew, Mgr
",1/7/2026,37 4 ST NE,,AB,T2E 3R6,4034535780.0,Yes
785876,CALGARY,Kozmic Kush Cannabis,"Mohammad, Shafiq, Mgr
",9/5/2023,18-430 ACADIA DR SE,,AB,T2J 0B2,5873522400.0,No 
782241,CALGARY,Lake City Cannabis,"Roch, Ryan Eduard, Mgr
",4/28/2021,6-22 RICHARD WAY SW,,AB,T3E 7M9,4037644205.0,Yes
816357,CALGARY,Lakeside Cannabis,"Parmar, Harsimranjit Singh, Mgr
",10/16/2025,1276 68 ST SE,,AB,T2A 7X7,4035402671.0,No 
783734,CALGARY,Leaf Life,"El-Masri, Ayman, Mgr
",2/23/2022,103-1331 MACLEOD TRAIL SE,,AB,T2G 0K3,5873150344.0,Yes
781479,CALGARY,Leaf Life,"El-Masri, Ayman, Mgr
",8/26/2020,10109 HIDDEN VALLEY DR NW,,AB,T3A 5Z7,5873535324.0,Yes
783733,CALGARY,Leaf Life,"El-Masri, Ayman, Mgr
",2/14/2022,310-11877 SARCEE TRAIL NW,,AB,T3R 1W5,5873178233.0,Yes
782432,CALGARY,Leaf Life,"El-Masri, Ayman, Mgr
",3/9/2021,101-2230 68 STREET NE,,AB,T1Y 0A2,5873525324.0,Yes
